date,Station,phyto
2024-08-12 00:00:00.000000000,ETJ1,160
2024-08-20 00:00:00.000000000,ETJ1,240
2024-08-26 00:00:00.000000000,ETJ1,20
2024-09-05 00:00:00.000000000,ETJ1,120
2024-09-10 00:00:00.000000000,ETJ1,40
2024-09-16 00:00:00.000000000,ETJ1,40
2024-09-25 00:00:00.000000000,ETJ1,20
2024-09-30 00:00:00.000000000,ETJ1,60
2024-10-16 00:00:00.000000000,ETJ1,20
2024-10-21 00:00:00.000000000,ETJ1,120
2024-10-28 00:00:00.000000000,ETJ1,20
2024-11-04 00:00:00.000000000,ETJ1,20
2024-11-13 00:00:00.000000000,ETJ1,20
2024-11-20 00:00:00.000000000,ETJ1,20
2024-11-25 00:00:00.000000000,ETJ1,20
2024-12-16 00:00:00.000000000,ETJ1,20
2025-01-06 00:00:00.000000000,ETJ1,20
2025-01-13 00:00:00.000000000,ETJ1,20
2025-01-22 00:00:00.000000000,ETJ1,20
2025-02-05 00:00:00.000000000,ETJ1,20
2025-02-11 00:00:00.000000000,ETJ1,20
2025-02-26 00:00:00.000000000,ETJ1,20
2025-03-03 00:00:00.000000000,ETJ1,20
2025-03-13 00:00:00.000000000,ETJ1,20
2025-03-17 00:00:00.000000000,ETJ1,20
2025-03-27 00:00:00.000000000,ETJ1,20
2025-04-03 00:00:00.000000000,ETJ1,20
2025-04-14 00:00:00.000000000,ETJ1,20
2025-04-29 00:00:00.000000000,ETJ1,20
2025-05-07 00:00:00.000000000,ETJ1,20
2025-05-14 00:00:00.000000000,ETJ1,20
2025-05-19 00:00:00.000000000,ETJ1,40
2025-05-27 00:00:00.000000000,ETJ1,60
2025-06-03 00:00:00.000000000,ETJ1,120
2025-06-18 00:00:00.000000000,ETJ1,480
2025-06-25 00:00:00.000000000,ETJ1,240
2025-07-01 00:00:00.000000000,ETJ1,200
2025-07-07 00:00:00.000000000,ETJ1,20
2025-07-17 00:00:00.000000000,ETJ1,80
2025-07-24 00:00:00.000000000,ETJ1,100
2025-07-28 00:00:00.000000000,ETJ1,80
2025-08-13 00:00:00.000000000,ETJ1,100
2025-08-25 00:00:00.000000000,ETJ1,20
2025-09-01 00:00:00.000000000,ETJ1,20
2025-09-15 00:00:00.000000000,ETJ1,20
2025-09-25 00:00:00.000000000,ETJ1,20
2025-10-01 00:00:00.000000000,ETJ1,20
2025-10-08 00:00:00.000000000,ETJ1,20
2025-10-13 00:00:00.000000000,ETJ1,20
2025-10-20 00:00:00.000000000,ETJ1,200
2025-11-10 00:00:00.000000000,ETJ1,20
2025-11-19 00:00:00.000000000,ETJ1,40
2025-12-02 00:00:00.000000000,ETJ1,20
2025-12-12 00:00:00.000000000,ETJ1,20
2025-12-29 00:00:00.000000000,ETJ1,20
1970-01-01 00:00:00.000045805,FAR1,20
2021-01-07 00:00:00.000000000,FAR1,20
2021-01-13 00:00:00.000000000,FAR1,20
2021-01-18 00:00:00.000000000,FAR1,20
2021-01-25 00:00:00.000000000,FAR1,20
2021-02-01 00:00:00.000000000,FAR1,20
2021-02-10 00:00:00.000000000,FAR1,20
2021-02-17 00:00:00.000000000,FAR1,20
2021-02-24 00:00:00.000000000,FAR1,20
2021-03-01 00:00:00.000000000,FAR1,40
2021-03-10 00:00:00.000000000,FAR1,20
2021-03-15 00:00:00.000000000,FAR1,20
2021-03-24 00:00:00.000000000,FAR1,20
2021-03-29 00:00:00.000000000,FAR1,20
2021-04-05 00:00:00.000000000,FAR1,20
2021-04-14 00:00:00.000000000,FAR1,20
2021-04-21 00:00:00.000000000,FAR1,20
2021-04-28 00:00:00.000000000,FAR1,20
2021-05-05 00:00:00.000000000,FAR1,20
2021-05-12 00:00:00.000000000,FAR1,20
2021-05-19 00:00:00.000000000,FAR1,20
2021-05-26 00:00:00.000000000,FAR1,40
2021-06-02 00:00:00.000000000,FAR1,20
2021-06-09 00:00:00.000000000,FAR1,40
2021-06-14 00:00:00.000000000,FAR1,20
2021-06-23 00:00:00.000000000,FAR1,40
2021-06-28 00:00:00.000000000,FAR1,20
2021-07-07 00:00:00.000000000,FAR1,20
2021-07-12 00:00:00.000000000,FAR1,40
2021-07-19 00:00:00.000000000,FAR1,20
2021-08-04 00:00:00.000000000,FAR1,20
2021-08-09 00:00:00.000000000,FAR1,20
2021-08-18 00:00:00.000000000,FAR1,20
2021-08-25 00:00:00.000000000,FAR1,40
2021-09-08 00:00:00.000000000,FAR1,20
2021-09-16 00:00:00.000000000,FAR1,20
2021-09-22 00:00:00.000000000,FAR1,20
2021-09-27 00:00:00.000000000,FAR1,20
2021-10-07 00:00:00.000000000,FAR1,20
2021-10-11 00:00:00.000000000,FAR1,20
2021-10-18 00:00:00.000000000,FAR1,20
2021-10-25 00:00:00.000000000,FAR1,20
2021-11-04 00:00:00.000000000,FAR1,20
2021-11-08 00:00:00.000000000,FAR1,20
2021-11-17 00:00:00.000000000,FAR1,20
2021-11-22 00:00:00.000000000,FAR1,20
2021-12-02 00:00:00.000000000,FAR1,20
2021-12-06 00:00:00.000000000,FAR1,20
2021-12-15 00:00:00.000000000,FAR1,20
2021-12-20 00:00:00.000000000,FAR1,40
2022-01-03 00:00:00.000000000,FAR1,20
2022-01-10 00:00:00.000000000,FAR1,80
2022-01-17 00:00:00.000000000,FAR1,20
2022-01-26 00:00:00.000000000,FAR1,20
2022-01-31 00:00:00.000000000,FAR1,20
2022-02-07 00:00:00.000000000,FAR1,20
2022-02-16 00:00:00.000000000,FAR1,40
2022-02-21 00:00:00.000000000,FAR1,20
2022-03-07 00:00:00.000000000,FAR1,20
2022-03-28 00:00:00.000000000,FAR1,20
2022-04-05 00:00:00.000000000,FAR1,20
2022-04-11 00:00:00.000000000,FAR1,20
2022-04-20 00:00:00.000000000,FAR1,20
2022-04-27 00:00:00.000000000,FAR1,40
2022-05-02 00:00:00.000000000,FAR1,80
2022-05-11 00:00:00.000000000,FAR1,20
2022-05-18 00:00:00.000000000,FAR1,20
2022-05-25 00:00:00.000000000,FAR1,20
2022-05-30 00:00:00.000000000,FAR1,20
2022-06-08 00:00:00.000000000,FAR1,20
2022-06-22 00:00:00.000000000,FAR1,200
2022-06-27 00:00:00.000000000,FAR1,20
2022-07-04 00:00:00.000000000,FAR1,20
2022-07-13 00:00:00.000000000,FAR1,20
2022-07-20 00:00:00.000000000,FAR1,20
2022-07-27 00:00:00.000000000,FAR1,20
2022-08-01 00:00:00.000000000,FAR1,20
2022-08-10 00:00:00.000000000,FAR1,20
2022-08-24 00:00:00.000000000,FAR1,20
2022-08-29 00:00:00.000000000,FAR1,20
2022-09-05 00:00:00.000000000,FAR1,20
2022-09-13 00:00:00.000000000,FAR1,20
2022-09-21 00:00:00.000000000,FAR1,20
2022-09-28 00:00:00.000000000,FAR1,20
2022-10-06 00:00:00.000000000,FAR1,20
2022-10-12 00:00:00.000000000,FAR1,20
2022-10-19 00:00:00.000000000,FAR1,20
2022-10-24 00:00:00.000000000,FAR1,20
2022-11-03 00:00:00.000000000,FAR1,20
2022-11-09 00:00:00.000000000,FAR1,20
2022-11-14 00:00:00.000000000,FAR1,20
2022-11-21 00:00:00.000000000,FAR1,20
2022-11-28 00:00:00.000000000,FAR1,20
2022-12-06 00:00:00.000000000,FAR1,20
2022-12-12 00:00:00.000000000,FAR1,20
2022-12-19 00:00:00.000000000,FAR1,20
2022-12-26 00:00:00.000000000,FAR1,20
2023-01-02 00:00:00.000000000,FAR1,20
2023-01-09 00:00:00.000000000,FAR1,20
2023-01-18 00:00:00.000000000,FAR1,240
2023-01-25 00:00:00.000000000,FAR1,20
2023-02-06 00:00:00.000000000,FAR1,20
2023-02-16 00:00:00.000000000,FAR1,20
2023-02-22 00:00:00.000000000,FAR1,20
2023-03-01 00:00:00.000000000,FAR1,20
2023-03-06 00:00:00.000000000,FAR1,20
2023-03-14 00:00:00.000000000,FAR1,20
2023-03-30 00:00:00.000000000,FAR1,20
2023-04-03 00:00:00.000000000,FAR1,160
2023-04-10 00:00:00.000000000,FAR1,20
2023-04-18 00:00:00.000000000,FAR1,20
2023-04-28 00:00:00.000000000,FAR1,20
2023-05-04 00:00:00.000000000,FAR1,20
2023-05-08 00:00:00.000000000,FAR1,20
2023-05-15 00:00:00.000000000,FAR1,20
2023-05-22 00:00:00.000000000,FAR1,20
2023-05-31 00:00:00.000000000,FAR1,20
2023-06-05 00:00:00.000000000,FAR1,120
2023-06-12 00:00:00.000000000,FAR1,20
2023-06-19 00:00:00.000000000,FAR1,120
2023-06-28 00:00:00.000000000,FAR1,40
2023-08-07 00:00:00.000000000,FAR1,20
2023-08-16 00:00:00.000000000,FAR1,40
2023-08-28 00:00:00.000000000,FAR1,40
2023-09-04 00:00:00.000000000,FAR1,40
2023-09-13 00:00:00.000000000,FAR1,20
2023-09-18 00:00:00.000000000,FAR1,20
2023-09-25 00:00:00.000000000,FAR1,20
2023-10-02 00:00:00.000000000,FAR1,20
2023-10-11 00:00:00.000000000,FAR1,280
2023-10-16 00:00:00.000000000,FAR1,20
2023-10-23 00:00:00.000000000,FAR1,20
2023-10-30 00:00:00.000000000,FAR1,40
2023-11-08 00:00:00.000000000,FAR1,20
2023-11-13 00:00:00.000000000,FAR1,20
2023-11-22 00:00:00.000000000,FAR1,20
2023-11-29 00:00:00.000000000,FAR1,20
2023-12-06 00:00:00.000000000,FAR1,20
2023-12-13 00:00:00.000000000,FAR1,20
2023-12-20 00:00:00.000000000,FAR1,20
2024-01-08 00:00:00.000000000,FAR1,20
2024-01-15 00:00:00.000000000,FAR1,20
2024-01-24 00:00:00.000000000,FAR1,20
2024-01-29 00:00:00.000000000,FAR1,20
2024-02-07 00:00:00.000000000,FAR1,20
2024-02-15 00:00:00.000000000,FAR1,20
2024-02-21 00:00:00.000000000,FAR1,20
2024-02-28 00:00:00.000000000,FAR1,20
2024-03-06 00:00:00.000000000,FAR1,20
2024-03-13 00:00:00.000000000,FAR1,20
2024-03-18 00:00:00.000000000,FAR1,20
2024-03-25 00:00:00.000000000,FAR1,120
2024-04-03 00:00:00.000000000,FAR1,20
2024-04-08 00:00:00.000000000,FAR1,80
2024-04-15 00:00:00.000000000,FAR1,20
2024-04-29 00:00:00.000000000,FAR1,20
