Station,date,dsp_toxins
L5b,2023-04-03,55.4905095710739
L5b,2023-04-10,123.178728652226
L5b,2023-04-19,117.206147577016
L5b,2023-04-24,67.7600370327144
L5b,2023-05-03,217.805603948387
L5b,2023-05-08,395.634932770959
L5b,2023-05-15,137.457828821904
L5b,2023-05-22,57.3304754632184
L5b,2023-05-29,108.372986850795
L5b,2023-06-05,389.506156108306
L5b,2023-06-12,207.067132005847
L5b,2023-06-19,146.231117391804
L5b,2023-06-29,73.6720489982873
L5b,2023-07-03,56.0
L5b,2023-07-04,59.0
L5b,2023-07-12,75.0
L5b,2023-07-17,254.296671001804
L5b,2023-07-24,253.129831174433
L5b,2023-07-31,147.959204982691
L5b,2023-08-08,110.984058872354
L5b,2023-08-17,245.508929233008
L5b,2023-08-23,246.380993268037
L5b,2023-08-30,182.39245559585
L5b,2023-09-11,63.0273870664616
L5b,2023-09-20,184.468831020905
L5b,2023-09-27,550.0
L5b,2023-10-04,550.0
L5b,2023-10-30,266.22923796889273
L5b,2023-11-08,165.42527065201656
L5b,2023-11-13,151.49244071324526
L5b,2023-11-21,36.0
L5b,2023-11-30,107.46209481509777
L5b,2023-12-04,96.07228727876705
L5b,2023-12-11,99.44766589256983
L5b,2023-12-19,36.0
L5b,2023-12-27,36.0
L5b,2024-01-03,67.6606510858476
L5b,2024-01-08,63.7888419143017
L5b,2024-01-18,67.7027823086936
L5b,2024-01-31,109.190037432254
L5b,2024-02-05,72.4820329528603
L5b,2024-02-12,69.1359133412248
L5b,2024-02-19,36
L5b,2024-02-28,36
L5b,2024-03-04,71.3319061161939
L5b,2024-03-13,36
L5b,2024-03-20,81.8801608416214
L5b,2024-03-25,36
L5b,2024-04-01,36
L5b,2024-04-08,36
L5b,2024-04-16,36
L5b,2024-04-22,36
L5b,2024-04-29,36
L5b,2024-05-06,36
L5b,2024-05-14,36
L5b,2024-05-20,57.7642774045849
L5b,2024-05-27,36
L5b,2024-06-03,50.5350083206054
L5b,2024-06-11,36
L5b,2024-06-17,36
L5b,2024-06-24,36
L5b,2024-07-03,80.8480084776964
L5b,2024-07-10,36
L5b,2024-07-16,141.76275
L5b,2024-07-22,421.569315610198
L5b,2024-07-30,661.289799914969
L5b,2024-08-08,355.21226497393
L5b,2024-08-12,325.734260725449
L5b,2024-08-20,550
L5b,2024-08-26,278.965985742829
L5b,2024-09-05,666.73558337691
L5b,2024-09-11,302.313206577395
L5b,2024-09-16,240.843641542184
L5b,2024-09-25,268.907584246879
L5b,2024-09-30,378.693044719431
L5b,2024-10-10,283.49498775677
L5b,2024-10-16,223.591055793934
L5b,2024-10-21,236.647654236263
L5b,2024-10-28,300.96103754955
L5b,2024-11-04,174.615094504652
L5b,2024-11-13,74.6012926016675
L5b,2024-11-20,36
L5b,2024-11-25,36
L5b,2024-12-05,36
L5b,2024-12-10,36
L5b,2024-12-16,36
L5b,2024-12-26,36
L5b,2025-01-02,36.0
L5b,2025-01-06,36.0
L5b,2025-01-13,36.0
L5b,2025-01-22,36.0
L5b,2025-01-29,36.0
L5b,2025-02-05,36.0
L5b,2025-02-11,36.0
L5b,2025-02-19,36.0
L5b,2025-02-25,60.6782533477399
L5b,2025-03-03,36.0
L5b,2025-03-13,36.0
L5b,2025-03-17,36.0
L5b,2025-03-27,36.0
L5b,2025-04-03,36.0
L5b,2025-04-09,36.0
L5b,2025-04-14,56.8655863479291
L5b,2025-04-22,36.0
L5b,2025-04-28,36.0
L5b,2025-05-07,36.0
L5b,2025-05-14,36.0
L5b,2025-05-19,36.0
L5b,2025-05-27,135.195706663851
L5b,2025-06-03,247.571644368675
L5b,2025-06-12,235.947804294019
L5b,2025-06-18,312.238543214064
L5b,2025-06-25,531.98146777198
L5b,2025-07-01,218.144207704579
L5b,2025-07-07,413.551272667081
L5b,2025-07-17,196.161538397061
L5b,2025-07-24,220.445849452867
L5b,2025-07-28,159.483091507812
L5b,2025-08-07,93.5217866797794
L5b,2025-08-13,344.408679350316
L5b,2025-08-21,309.218625396325
L5b,2025-08-25,348.446993370051
L5b,2025-09-01,220.663577124677
L5b,2025-09-10,93.2263245212427
L5b,2025-09-15,76.0
L5b,2025-09-25,64.5809043548214
L5b,2025-10-01,54.52706991597438
L5b,2025-10-08,36.0
L5b,2025-10-13,36.0
L5b,2025-10-20,187.3959280555336
L5b,2025-10-28,167.97399587027513
L5b,2025-11-04,179.933368139719
L5b,2025-11-10,289.0849661738075
L7c1,2021-01-04,36.0
